"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"East Asia & Pacific (excluding high income)","EAP","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","0.81542","0.84173","0.84559","0.84734","0.83986","0.83661","0.82485","0.8186","0.82294","0.82761","0.8328","0.84699","0.86046","0.867","0.87697","0.88262","0.89281","0.90384","0.90624","0.92207","0.92927","0.93681","0.94308","0.94986","0.95919","0.96439","0.96844","0.96813","0.97028","0.97821","0.98302","0.98761","0.98956","0.99382","0.99762","0.99462","0.99757","0.99902","0.99962","1.00274","1.00145","1.00432","1.00395","",
"Early-demographic dividend","EAR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.67771","0.67901","0.68391","0.68766","0.68925","0.69976","0.70759","0.71128","0.71532","0.72314","0.7273","0.73566","0.73863","0.74966","0.74994","0.75817","0.76733","0.77345","0.78219","0.78412","0.79008","0.80114","0.80844","0.81836","0.82638","0.82969","0.83352","0.84558","0.85478","0.86673","0.87238","0.88007","0.89046","0.92703","0.92925","0.93639","0.94305","0.95134","0.96446","0.97612","0.9812","0.98641","0.98869","1.01487","1.01597","1.01686","1.02952","1.03038","",
"East Asia & Pacific","EAS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.78239","0.77995","0.83265","0.85569","0.85872","0.86032","0.85416","0.85224","0.84246","0.8376","0.84198","0.84662","0.85117","0.86404","0.87627","0.8817","0.89084","0.89612","0.90494","0.91465","0.9168","0.93062","0.93717","0.94386","0.94928","0.9552","0.96352","0.96819","0.97188","0.97149","0.97332","0.98041","0.98479","0.98886","0.99049","0.99434","0.99774","0.99489","0.99753","0.9988","0.99926","1.00207","1.0008","1.00346","1.00305","",
"Europe & Central Asia (excluding high income)","ECA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.96466","0.96564","0.96672","0.96715","0.9672","0.96763","0.96758","0.96859","0.96986","0.97108","0.97095","0.97242","0.97083","0.97124","0.97221","0.9675","0.96396","0.96579","0.96091","0.95948","0.95638","0.95998","0.9624","0.96693","0.96865","0.97279","0.97891","0.97807","0.97771","0.98256","0.98586","0.98735","0.98799","0.98884","0.98995","",
"Europe & Central Asia","ECS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.97195","0.9723","0.97264","0.97718","0.9734","0.9784","0.98229","0.97956","0.98042","0.98038","0.98205","0.9866","0.98556","0.98893","0.98828","0.98888","0.98982","0.99034","0.98916","0.98768","0.98801","0.98971","0.99158","0.9894","0.98728","0.98653","0.98747","0.98719","0.98515","0.9837","0.98417","0.98235","0.98064","0.97978","0.98202","0.98244","0.9842","0.98508","0.98664","0.98781","0.98675","0.98638","0.98832","0.99408","0.99458","0.9943","0.99929","0.9995","",
"Ecuador","ECU","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.94228","0.94287","0.94534","0.95506","0.96266","0.96054","0.96347","0.96416","0.98203","0.97091","0.97936","","0.99744","1.00325","0.99656","1.0002","1.00098","1.00315","","","","","0.99596","","","1.00764","","1.00989","1.0072","1.00151","1.00613","1.00089","1.00394","0.99834","1.00051","1.00145","1.00211","","","1.02254","1.01738","1.01928","1.02427","1.02063","1.01985","1.02017","1.01899","",
"Egypt, Arab Rep.","EGY","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.61873","0.61974","0.62068","0.62409","0.61841","0.63034","0.63886","0.64498","0.65739","0.66307","0.67907","0.69211","0.70749","0.72552","0.74366","0.76128","0.77398","0.76407","0.79868","0.81638","0.82348","0.85558","0.86282","0.85101","0.88575","0.81124","0.87683","","0.92312","0.93286","0.94193","","0.95054","0.95747","","","","","0.97591","0.97114","0.96893","0.9852","0.9855","0.99562","","0.99274","0.99358","",
"Euro area","EMU","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.96986","0.97025","0.97229","0.98229","0.97141","0.98278","0.99164","0.98711","0.99139","0.99103","0.99682","1.00602","0.99944","1.00634","1.00503","1.0054","1.00744","1.00807","1.00476","1.00519","1.00571","1.00721","1.00873","1.00833","1.00119","0.99986","1.00183","1.00016","0.9988","0.99949","0.9986","1.00036","0.99774","0.99839","0.99964","0.99865","0.99719","0.99798","0.99738","0.99317","0.99215","0.99121","0.99099","0.9941","0.99423","0.99334","0.99346","0.99286","",
"Eritrea","ERI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82368","0.7891","0.78707","0.79719","0.79818","","0.7891","0.78469","0.78897","0.75258","0.75617","0.71539","0.7256","0.72852","0.78663","0.78137","0.7827","0.80962","0.81409","0.81857","0.93615","0.83631","0.8558","","0.8742","",
"Spain","ESP","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.9296","0.93709","0.9508","0.9494","0.98067","0.98517","0.99126","0.99337","0.97509","1.02029","1.02226","0.9989","1.03307","1.01847","1.02075","1.0391","1.04703","1.03937","1.03779","1.02986","1.03872","1.04542","1.04824","1.04964","1.05089","1.05504","1.03131","1.03575","1.03495","1.03408","1.03148","1.03445","1.0285","1.0319","1.02956","1.02814","1.03033","1.02795","1.02129","1.00988","1.00337","1.00187","1.00775","1.00762","1.00436","1.00904","","",
"Estonia","EST","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02501","1.02225","1.05049","1.04414","1.03699","","1.0166","1.01863","1.02329","1.01794","1.01774","1.0235","1.0171","1.01028","1.01449","1.0146","1.01303","1.00529","0.9938","0.99148","0.99267","0.99308","0.99526","0.99887","1.00457","","",
"Ethiopia","ETH","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.43451","0.44197","","0.4517","","","","","","","","","","0.60605","","","","","","","0.69501","0.75943","0.7451","0.67534","0.63605","0.60513","","","0.62296","0.65729","0.68761","0.69795","0.70012","0.73525","0.78271","0.81403","0.83603","0.86237","0.89179","0.90081","0.91161","0.92194","","","0.92034","","","",
"European Union","EUU","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.97633","0.97666","0.97818","0.98584","0.97866","0.98704","0.99356","0.99128","0.99428","0.99443","0.9988","1.00581","1.002","1.00644","1.00496","1.00559","1.00734","1.00867","1.00675","1.00437","1.00447","1.00779","1.01071","1.0068","1.0025","1.00285","1.0041","1.00225","1.00284","1.0033","1.00233","1.00325","1.00134","1.00235","1.00289","1.00102","0.99995","0.99953","0.99848","0.99549","0.99375","0.9932","0.99276","1.00034","1.0004","0.99956","1.00788","1.00742","",
"Fragile and conflict affected situations","FCS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.62857","0.62543","0.63336","0.6391","0.64895","0.65394","0.65867","0.6668","0.67207","0.68615","0.69992","0.71389","0.74344","0.74736","0.74956","0.73923","0.74555","0.76536","0.76376","0.76468","0.76538","0.77169","0.77469","0.77263","0.76564","0.76468","0.76358","0.7617","0.76226","0.7737","0.77781","0.77485","0.77908","0.79126","0.77669","0.8016","0.8069","0.81171","0.8197","0.82599","0.83449","0.84098","0.84678","0.85197","0.85325","0.86899","0.87421","0.87449","",
"Finland","FIN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","1.01688","1.02584","1.02892","","1.05043","1.04933","1.05188","1.0542","1.05863","1.05712","1.0668","1.06464","1.08516","1.08932","1.08514","1.08585","1.08339","1.07691","1.08712","1.09401","1.1061","1.09169","1.08613","1.07793","1.09221","1.07399","1.05196","1.0477","1.04842","1.05447","1.0566","1.05271","1.02023","1.02006","1.02063","1.02228","1.02243","1.02362","1.02251","1.02109","1.02182","1.05417","1.05652","1.05697","1.05755","","",
"Fiji","FJI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.92951","","0.96287","0.95375","0.98113","0.99257","1.00118","1.00133","1.00676","","1.01368","1.01272","","1.01318","1.00169","1.00125","1.0041","1.00664","","","","0.98381","0.99822","","","","","","1.026","1.04307","1.03114","1.02783","1.0385","1.0307","1.02283","","1.03918","1.04436","1.03118","1.03693","","1.04009","1.05583","","","","","","",
"France","FRA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","1.04559","1.04477","1.0828","1.00985","1.04221","","1.04355","1.0506","1.04691","1.05152","1.09307","1.04917","1.05022","","1.0419","1.0378","1.0364","1.03481","1.03342","1.02997","1.02452","1.02164","1.01753","0.99025","0.98698","0.98925","0.99207","0.99353","0.99544","0.99611","0.99773","0.99924","1.00242","1.00149","0.99844","0.99547","0.99783","0.99757","0.99833","1.00079","1.00325","1.00305","1.00568","1.00734","1.00357","1.00225","","",
"Faroe Islands","FRO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","0.89806","0.94599","0.96541","","1.00178","0.97111","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01896","1.02245","","","","","","","","","","","","","",
"Gabon","GAB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.83931","0.84343","0.85234","0.85275","","0.87303","0.88315","0.88601","0.8937","0.91115","0.91153","0.91196","0.91446","0.91925","0.92681","0.92483","0.93764","0.93913","0.97272","","","","","0.9769","0.95951","0.97523","0.96719","","0.97035","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.99926","0.99857","0.99969","1.00227","1.00467","1.00738","1.00905","1.01026","1.01292","1.01529","1.01833","1.01823","1.01736","1.01489","1.01614","1.02113","1.01526","1.01485","1.01699","1.01898","1.02199","1.01841","","","","","","1.00258","1.0039","1.00559","1.00509","1.00834","1.01949","1.01598","1.01608","1.01868","1.01291","1.00761","1.00499","0.99966","1.00351","1.00035","1.02518","1.02237","1.01768","1.06741","","",
"Georgia","GEO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","0.82414","","","","","0.87278","","","","","0.98369","0.97036","0.96457","0.94328","0.94904","0.99302","0.98512","","0.99678","0.99624","1.01149","1.0026","0.98755","0.98013","0.97629","1.01048","","0.97088","","","","","0.99999","1.00921","1.01498","1.01245","1.01256","",
"Ghana","GHA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.76435","","0.76926","0.7728","0.76043","0.75271","0.75087","0.75188","0.75636","0.76549","0.76434","0.7656","0.75491","0.75034","0.74245","","0.75699","0.76753","0.7781","0.78068","","","","","0.83994","","","","0.88596","0.89699","0.91021","0.91139","0.91313","0.90244","0.91514","0.9342","0.94334","0.94662","0.94473","","0.95717","0.96093","0.96526","0.97738","0.98203","0.99749","0.99892","",
"Gibraltar","GIB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.40172","","","","","","","","","","0.46379","0.45913","0.44871","0.44868","0.43115","0.43249","0.41449","","0.41574","0.41923","0.42915","","0.43429","0.4512","","0.48776","","","0.56189","","0.62488","0.6477","0.67717","0.6885","0.712","0.73094","","0.75699","","","0.781749999999999","","","0.78774","","","","",
"Gambia, The","GMB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.41244","","0.42632","0.44334","0.47186","0.47494","0.46245","0.47184","0.46318","0.4778","0.50734","","0.53231","0.55555","0.56214","0.5737","0.5865","","0.58315","","","0.65266","0.66536","0.68183","0.69134","0.73537","","","","","","","","","","","","1.01324","1.01105","0.99851","","","","","","","","",
"Guinea-Bissau","GNB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.43889","0.62734","","","","0.53172","","0.4619","0.43708","0.43638","0.44442","0.43888","0.4567","0.4665","0.48359","","0.52556","0.52636","0.54803","","","","","","","","","","","0.64891","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.69144","","","","","","","","","","","","","","","","","","","","","","0.81699","0.86698","","","","","","0.72728","","0.86433","","","0.90506","","","","","","","","","","","","","",
"Greece","GRC","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.9096","0.90877","0.90768","0.90701","0.90921","0.91719","0.92611","0.94088","0.94922","0.95113","0.96727","0.97502","0.99687","0.9997","0.99856","0.99232","0.98391","0.98026","0.98053","0.98632","0.98756","0.99297","1.00886","0.98097","1.01646","1.01615","1.02205","1.02293","1.02157","1.02999","1.02253","1.00248","0.99414","0.9796","0.96576","0.96197","0.95155","","","0.95882","0.96955","0.9695","0.97122","0.96543","0.96175","0.96774","","",
"Grenada","GRD","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.95122","0.99457","","","","","1.00906","1.00719","1.00707","1.00802","1.07185","1.08528","1.06394","1.02517","1.02155","0.93889","","0.96037","","","","","1.04313","","","","","","","","","1.03268","0.98662","1.01308","0.99316","","0.97915","0.93032","0.96781","0.99481","","","0.96866","0.98764","0.97707","0.99446","0.98896","",
"Greenland","GRL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.81075","0.82581","0.82981","0.82858","0.84302","0.84594","0.85063","0.85354","0.84139","0.83981","0.84258","0.84963","0.86615","0.85659","","","","","","","","","","0.8676","","","0.86563","","0.87705","0.86824","0.89869","0.9062","0.91286","","0.92526","0.93206","0.93975","0.94784","0.95558","0.96545","0.9674","0.96807","0.96535","0.96103","0.96287","0.95962","0.96038","","",
"Guam","GUM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.99893","0.98888","0.98953","0.99655","","1.01228","","","","","","","","0.99963","1.00974","1.01562","1.00797","","","","","","","","","","","","0.98485","","0.99386","","","","1.01374","","0.98794","1.0156","1.00858","1.02783","1.02846","1.03242","","","","","","",
"High income","HIC","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.91666","0.91645","0.91598","0.93031","0.93785","0.95272","0.96745","0.97926","0.9948","0.99681","1.0024","1.00808","1.00396","1.00296","1.00345","1.00384","1.00505","1.00409","1.00301","1.00025","0.99898","0.99944","0.99955","0.99776","0.9959","0.99953","0.99883","1.00333","1.00831","1.00789","1.00067","1.00384","1.00105","1.00173","1.00341","1.00202","1.00093","1.00083","0.9995","1.00024","0.99632","0.99668","0.99439","0.99689","0.99716","0.99729","0.99715","0.99754","",
"Hong Kong SAR, China","HKG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.90181","0.90863","0.91419","0.91979","0.92528","0.94484","0.94628","0.96314","0.98756","0.99898","1.00869","1.02493","1.03522","1.03479","1.03045","1.03143","1.02125","1.015","","","","","","","","1.02461","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.98788","","","","","","","","","","0.9988","","1.01094","1.01132","1.02799","","","","","","","1.04301","","","","","","","","","","","","","","","1.06209","1.0728","1.07486","","1.06988","1.06585","1.06463","1.06036","1.04338","1.05784","1.05049","1.047","",
"Heavily indebted poor countries (HIPC)","HPC","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.64226","0.64295","0.6506","0.6552","0.66315","0.66444","0.66821","0.67656","0.68833","0.69169","0.70252","0.71019","0.73616","0.74082","0.74781","0.74302","0.75049","0.76444","0.75804","0.7635","0.76719","0.77448","0.77807","0.77932","0.77645","0.77241","0.76816","0.7738","0.77481","0.79139","0.7993","0.80339","0.80546","0.81555","0.81102","0.83202","0.8427","0.84877","0.85812","0.86863","0.8774","0.88637","0.89262","0.89959","0.90215","0.91174","0.9158","0.91822","",
"Croatia","HRV","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03076","1.02494","1.02454","1.02242","1.01564","1.01122","1.01031","1.01083","1.0092","1.00934","1.00878","","1.02261","1.02285","1.0247","1.02632","1.02709","1.04991","1.02762","1.02738","1.02494","1.02469","1.03385","1.03408","","",
"Haiti","HTI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.91969","0.93355","0.9559","0.949","0.95811","0.96341","0.97036","0.97311","0.9789","0.98059","0.98605","0.99737","0.99751","0.99748","0.99975","1.00226","1.00524","1.00748","1.00949","1.0034","1.00209","1.00169","","1.01838","1.02","1.01839","1.01519","1.00916","1.00337","0.99891","0.99883","0.99882","0.99571","0.98837","0.98665","0.98791","0.99078","0.98608","0.99004","0.98892","0.98601","0.98622","1.00146","1.00174","1.0028","0.99343","","",
"IBRD only","IBD","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.77618","0.77485","0.77331","0.77206","0.77291","0.80395","0.81876","0.82079","0.82129","0.82527","0.82321","0.8187","0.81419","0.82087","0.81957","0.82026","0.83736","0.84607","0.85143","0.85439","0.86046","0.86837","0.87534","0.88147","0.8907","0.89612","0.90014","0.90778","0.91575","0.9231","0.92625","0.93003","0.93521","0.9585","0.96277","0.96567","0.96972","0.97492","0.98349","0.99288","0.98999","0.99233","0.99566","1.01889","1.02145","1.02025","1.03101","1.03006","",
"IDA & IBRD total","IBT","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.75064","0.75026","0.7508","0.75038","0.75138","0.77851","0.79197","0.79585","0.79866","0.80265","0.80181","0.79977","0.7978","0.80023","0.80039","0.80221","0.81957","0.82737","0.83194","0.83627","0.84079","0.84866","0.85532","0.86091","0.86926","0.87445","0.87907","0.88628","0.89334","0.90111","0.9048","0.90858","0.91204","0.93209","0.93364","0.93938","0.94409","0.9492","0.95738","0.96545","0.96507","0.96808","0.97256","0.9891","0.99163","0.99239","0.99931","0.99965","",
"IDA total","IDA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.60644","0.60968","0.624","0.62845","0.63104","0.63645","0.64228","0.65601","0.67399","0.68086","0.69082","0.70492","0.7189","0.7037","0.71218","0.72075","0.73692","0.74247","0.74557","0.75736","0.7561","0.76667","0.7739","0.77849","0.78456","0.78969","0.79701","0.80508","0.81061","0.82211","0.83061","0.83731","0.83805","0.85042","0.84574","0.864","0.87375","0.8812","0.89099","0.89849","0.90693","0.91361","0.9226","0.92406","0.92805","0.93465","0.93381","0.93787","",
"IDA blend","IDB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.61127","0.62189","0.63511","0.65193","0.65951","0.6653","0.67002","0.68283","0.72028","0.73142","0.73617","0.74491","0.74631","0.72063","0.70968","0.73689","0.76309","0.76569","0.75149","0.77159","0.75625","0.76543","0.77265","0.77511","0.78252","0.78991","0.80162","0.80648","0.80643","0.80865","0.81366","0.8211","0.81219","0.83378","0.83441","0.8489","0.85901","0.86769","0.87704","0.88938","0.89013","0.89453","0.91361","0.91326","0.91663","0.91568","0.90764","0.91062","",
"Indonesia","IDN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.80627","0.80042","0.79936","0.78689","0.77271","0.81687","0.83696","0.837","0.83965","","","0.84002","0.85875","0.89788","0.90076","","","","0.90849","0.92303","0.93065","0.93871","0.94584","0.92808","0.93455","0.93194","0.93167","","","0.96488","0.9703","0.97833","0.98068","0.98267","0.98663","0.97537","0.98306","0.98176","0.98895","0.98846","1.02716","1.02839","1.01363","0.989","0.9855","0.98705","0.99525","0.99038","",
"IDA only","IDX","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.60432","0.60401","0.61885","0.61749","0.61727","0.62264","0.62923","0.64304","0.65136","0.6551","0.66722","0.68328","0.70348","0.69428","0.71492","0.71162","0.72213","0.72942","0.743","0.74997","0.75709","0.76841","0.77573","0.78164","0.78671","0.79024","0.79489","0.80466","0.81322","0.8299","0.8403","0.84633","0.85146","0.85892","0.85163","0.87172","0.88101","0.88761","0.89711","0.9024","0.91451","0.92235","0.92663","0.92923","0.93319","0.94329","0.94586","0.95034","",
"Isle of Man","IMN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.57844","0.58213","0.59183","","0.59983","0.60358","0.60778","0.60024","","0.61149","0.61955","0.61647","0.64059","0.62786","","0.65692","0.66642","0.67516","0.67165","","","","0.73073","0.74237","0.74248","0.74975","0.762","","0.78209","0.78733","0.79511","0.81572","0.90013","","","","0.92971","0.95489","0.97858","0.9787","0.98911","0.99507","1.06501","1.06377","1.06609","1.09286","","",
"Not classified","INX","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","1.02674","1.02186","1.03202","1.03265","1.03985","1.03755","1.03976","1.04525","1.04722","1.05424","1.05251","1.0522","1.04791","1.04574","1.0455","1.04786","1.04618","1.04401","1.04545","1.04882","1.04656","1.04237","1.02021","1.02384","1.03014","1.03865","1.04275","1.0235","1.02309","1.02796","1.03174","1.03581","1.03082","1.02734","1.03353","1.02732","1.02099","1.02287","1.02595","1.02363","1.01397","1.01053","","1.00741","1.00846","1.00691","","",
"Iran, Islamic Rep.","IRN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.57015","0.57538","0.58199","0.58271","0.60418","0.62612","0.64141","","","","","","","","0.76312","","","0.78512","","0.81865","0.84206","0.85165","0.86467","0.87477","0.88697","","0.91493","","0.93091","0.93962","0.94401","0.94765","0.94763","0.96229","0.96777","0.972","1.00026","0.98602","0.98381","0.98616","0.98562","0.98329","1.00852","1.02689","1.03498","","","",
"Iraq","IRQ","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.42626","0.424","0.43411","0.44901","0.483","0.5024","0.54849","0.58038","0.69679","0.73724","0.77534","0.78926","0.79329","0.77891","0.76456","0.75906","0.768039999999999","0.7908","0.77414","","","","0.78788","","","0.79054","","","0.7797","0.77225","","","0.81188","0.79053","","","0.81409","","","","","","","","","","","",
"Iceland","ISL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.91834","","","","0.92724","0.92327","0.94559","","","","","","0.96089","0.95677","","0.96188","","0.97627","0.97585","","","","0.99058","0.99027","0.98486","0.98964","","1.00685","1.01786","1.02583","1.02401","1.02296","1.02354","1.00171","0.99594","1.00692","1.02913","1.01888","1.01753","1.01162","1.00465","0.99753","1.01816","1.01443","1.00379","1.00102","","",
"Israel","ISR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","1.03873","1.03675","1.04243","1.04737","1.04397","1.03956","1.0462","1.05009","","","1.03826","1.04727","1.04907","1.04939","1.04415","1.05087","1.04026","1.04478","1.04042","1.02549","1.027","1.01881","","","","","0.99059","0.99514","0.99564","0.99155","0.98779","0.9991","0.99997","1.00263","1.00651","1.01152","1.01291","1.01357","1.01202","1.01204","1.0108","1.00927","1.00823","1.01292","","",
"Italy","ITA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.9147","0.91863","0.92406","0.92992","0.93676","0.94099","0.9457","0.95451","0.96184","0.9713","0.97881","0.98595","0.98791","0.98997","0.99138","0.9919","0.99097","0.99255","0.99316","1.00334","0.99743","0.99829","1.00884","1.01259","0.99246","0.99609","0.99821","0.99288","0.99409","0.9768","0.98383","0.97181","0.981349999999999","0.99431","0.99171","0.99051","0.98926","0.98867","0.9892","0.98745","0.98358","0.9838","0.98474","0.98299","0.983","0.98823","","",
"Jamaica","JAM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","1.03129","1.02834","1.06936","1.07162","1.05191","","1.05289","1.07032","1.0661","","1.0541","1.05045","1.04792","1.06185","1.0213","1.03328","1.0473","","1.03448","","1.00902","","","","","","1.00736","1.009","1.00503","1.01264","1.01676","1.02076","","","","","","","","","","","","","","",
